,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
5895,"{""$oid"": ""52cdef7d4bab8bd675299497""}",Face Your Manga,web,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5896,"{""$oid"": ""52cdef7d4bab8bd675299498""}",Nesting,web,,2007.0,Santa Monica,"{'type': 'Point', 'coordinates': [-118.496658, 34.015178]}",34.015178,-118.496658,0.0
5897,"{""$oid"": ""52cdef7d4bab8bd675299494""}",D2 Creative,advertising,80.0,1995.0,Somerset,"{'type': 'Point', 'coordinates': [-74.519047, 40.531055]}",40.531055,-74.519047,0.0
5898,"{""$oid"": ""52cdef7d4bab8bd675299490""}",Digital Stampede,web,5.0,2007.0,Chicago,"{'type': 'Point', 'coordinates': [-87.703656, 41.972002]}",41.972002,-87.703656,0.0
5899,"{""$oid"": ""52cdef7d4bab8bd675299495""}",WebStarts,web,15.0,2007.0,Bellevue,"{'type': 'Point', 'coordinates': [-82.2871293, 27.937603]}",27.937603,-82.2871293,0.0
5900,"{""$oid"": ""52cdef7d4bab8bd67529949b""}",InteliArt Media,web,4.0,2003.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5901,"{""$oid"": ""52cdef7d4bab8bd67529949c""}",Avengina,software,,,Chemnitz,"{'type': 'Point', 'coordinates': [12.924694, 50.832503]}",50.832503,12.924694,0.0
5902,"{""$oid"": ""52cdef7d4bab8bd675299499""}",Pelotonics,software,6.0,2007.0,San Diego,"{'type': 'Point', 'coordinates': [-117.200712, 32.891152]}",32.891152,-117.200712,500.0
5903,"{""$oid"": ""52cdef7d4bab8bd67529949d""}",CarOcean,web,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5904,"{""$oid"": ""52cdef7d4bab8bd67529949f""}",Build-to-Order,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5905,"{""$oid"": ""52cdef7d4bab8bd6752994a2""}",Tunestory,games_video,,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5906,"{""$oid"": ""52cdef7d4bab8bd6752994a1""}",Reality Online(Reuters),,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5907,"{""$oid"": ""52cdef7d4bab8bd6752994a3""}",Labortopia,web,,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5908,"{""$oid"": ""52cdef7d4bab8bd6752994a0""}",eMoney Advisor,,,,Conshohocken,,Invalid lat long,Invalid lat long,0.0
5909,"{""$oid"": ""52cdef7d4bab8bd6752994a5""}",Ourexplorer,web,,,Sydney,"{'type': 'Point', 'coordinates': [151.25679, -33.914273]}",-33.914273,151.25679,0.0
5910,"{""$oid"": ""52cdef7d4bab8bd6752994a4""}",BuyAssociation,public_relations,,2006.0,Manchester,,Invalid lat long,Invalid lat long,0.0
5911,"{""$oid"": ""52cdef7d4bab8bd675299492""}",Socialogue,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5912,"{""$oid"": ""52cdef7d4bab8bd67529949e""}",Pricelock,cleantech,,2006.0,Redwood City,"{'type': 'Point', 'coordinates': [-122.254275, 37.518539]}",37.518539,-122.254275,12000.0
5913,"{""$oid"": ""52cdef7d4bab8bd675299493""}",Pluit Solutions,web,,2005.0,Singapore,"{'type': 'Point', 'coordinates': [103.85415, 1.366447]}",1.366447,103.85415,0.0
5914,"{""$oid"": ""52cdef7d4bab8bd675299496""}",BuildIQ,public_relations,5.0,2001.0,Pittsburgh,"{'type': 'Point', 'coordinates': [-79.981516, 40.451782]}",40.451782,-79.981516,0.0
5915,"{""$oid"": ""52cdef7d4bab8bd6752994a7""}",Secure A Quote,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5916,"{""$oid"": ""52cdef7d4bab8bd67529949a""}",CraveOnline,web,38.0,2004.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.362442, 33.987978]}",33.987978,-118.362442,0.0
5916,"{""$oid"": ""52cdef7d4bab8bd67529949a""}",CraveOnline,web,38.0,2004.0,New York,,Invalid lat long,Invalid lat long,0.0
5916,"{""$oid"": ""52cdef7d4bab8bd67529949a""}",CraveOnline,web,38.0,2004.0,Chicago,,Invalid lat long,Invalid lat long,0.0
5916,"{""$oid"": ""52cdef7d4bab8bd67529949a""}",CraveOnline,web,38.0,2004.0,Scottsdale,,Invalid lat long,Invalid lat long,0.0
5916,"{""$oid"": ""52cdef7d4bab8bd67529949a""}",CraveOnline,web,38.0,2004.0,San Francisco,,Invalid lat long,Invalid lat long,0.0
5917,"{""$oid"": ""52cdef7d4bab8bd6752994a6""}",GetYourGuide,travel,75.0,2009.0,Zurich,"{'type': 'Point', 'coordinates': [8.5082891, 47.3912899]}",47.3912899,8.5082891,16000.0
5917,"{""$oid"": ""52cdef7d4bab8bd6752994a6""}",GetYourGuide,travel,75.0,2009.0,Berlin,,Invalid lat long,Invalid lat long,16000.0
5917,"{""$oid"": ""52cdef7d4bab8bd6752994a6""}",GetYourGuide,travel,75.0,2009.0,Las Vegas,,Invalid lat long,Invalid lat long,16000.0
5918,"{""$oid"": ""52cdef7d4bab8bd6752994ab""}",Dabbledoo,web,,,Clayton,"{'type': 'Point', 'coordinates': [-90.3418927, 38.6472433]}",38.6472433,-90.3418927,0.0
5919,"{""$oid"": ""52cdef7d4bab8bd6752994ad""}",Code to Customer,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5920,"{""$oid"": ""52cdef7d4bab8bd6752994ac""}",Entone Technologies,hardware,80.0,1999.0,Cupertino,"{'type': 'Point', 'coordinates': [-122.325129, 37.536402]}",37.536402,-122.325129,24000.0
5920,"{""$oid"": ""52cdef7d4bab8bd6752994ac""}",Entone Technologies,hardware,80.0,1999.0,Lai Chi Kok,,Invalid lat long,Invalid lat long,24000.0
5921,"{""$oid"": ""52cdef7d4bab8bd6752994a8""}",Vantage Media,advertising,150.0,2002.0,El Segundo,"{'type': 'Point', 'coordinates': [-118.387511, 33.902696]}",33.902696,-118.387511,70000.0
5922,"{""$oid"": ""52cdef7d4bab8bd6752994a9""}",RadioFrame,mobile,,,Redmond,"{'type': 'Point', 'coordinates': [-122.145808, 47.685626]}",47.685626,-122.145808,68000.0
5922,"{""$oid"": ""52cdef7d4bab8bd6752994a9""}",RadioFrame,mobile,,,Dublin,"{'type': 'Point', 'coordinates': [-6.250174, 53.335759]}",53.335759,-6.250174,68000.0
5923,"{""$oid"": ""52cdef7d4bab8bd6752994ae""}",Groupspeak,web,3.0,2007.0,NoOffice,,Invalid lat long,Invalid lat long,15.0
5924,"{""$oid"": ""52cdef7d4bab8bd6752994aa""}",OZ Communications,software,220.0,1991.0,"Montreal, Quebec","{'type': 'Point', 'coordinates': [-73.5687974, 45.4965703]}",45.4965703,-73.5687974,34000.0
5925,"{""$oid"": ""52cdef7d4bab8bd6752994af""}",SothinkMedia,software,100.0,1997.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5926,"{""$oid"": ""52cdef7d4bab8bd6752994b0""}",Qualiteam Software,ecommerce,150.0,2001.0,Limassol,,Invalid lat long,Invalid lat long,1500.0
5927,"{""$oid"": ""52cdef7d4bab8bd6752994b2""}",SourcePro Infotech,consulting,32.0,1995.0,Ahmedabad,,Invalid lat long,Invalid lat long,0.0
5928,"{""$oid"": ""52cdef7d4bab8bd6752994b3""}",Edmoz Directory,advertising,1.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5929,"{""$oid"": ""52cdef7d4bab8bd6752994b4""}",BizNetic,software,10.0,1998.0,Essex,,Invalid lat long,Invalid lat long,0.0
5930,"{""$oid"": ""52cdef7d4bab8bd6752994b5""}",iDevelop,software,47.0,,Skopje,,Invalid lat long,Invalid lat long,0.0
5931,"{""$oid"": ""52cdef7d4bab8bd6752994b6""}",Videonewmedia,public_relations,3.0,2008.0,Kuala Lumpur,"{'type': 'Point', 'coordinates': [101.707703, 3.15021]}",3.15021,101.707703,0.0
5932,"{""$oid"": ""52cdef7d4bab8bd6752994b8""}",Hash Train,web,,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5933,"{""$oid"": ""52cdef7d4bab8bd6752994b9""}",Elfwood,web,,1996.0,Linkoping,,Invalid lat long,Invalid lat long,0.0
5934,"{""$oid"": ""52cdef7d4bab8bd6752994b7""}",Kantega,consulting,80.0,2003.0,NoCity,,Invalid lat long,Invalid lat long,0.0
5934,"{""$oid"": ""52cdef7d4bab8bd6752994b7""}",Kantega,consulting,80.0,2003.0,NoCity,,Invalid lat long,Invalid lat long,0.0
5935,"{""$oid"": ""52cdef7d4bab8bd6752994ba""}",youCharades,games_video,15.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5936,"{""$oid"": ""52cdef7d4bab8bd6752994bc""}",Developer Fusion,software,2.0,1999.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5937,"{""$oid"": ""52cdef7d4bab8bd6752994bb""}",Terapeak,ecommerce,44.0,2002.0,Victoria,"{'type': 'Point', 'coordinates': [-123.407654, 48.494688]}",48.494688,-123.407654,3550.0
5938,"{""$oid"": ""52cdef7d4bab8bd6752994bf""}",Omega Legal Systems,software,42.0,1975.0,Phoenix,"{'type': 'Point', 'coordinates': [-111.98694, 33.492714]}",33.492714,-111.98694,0.0
5939,"{""$oid"": ""52cdef7d4bab8bd6752994be""}",CryptoPix,mobile,2.0,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5940,"{""$oid"": ""52cdef7d4bab8bd6752994bd""}",Smith Barney,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5941,"{""$oid"": ""52cdef7d4bab8bd6752994b1""}",Sharethrough,advertising,80.0,2008.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4018163, 37.7976785]}",37.7976785,-122.4018163,11000.0
5941,"{""$oid"": ""52cdef7d4bab8bd6752994b1""}",Sharethrough,advertising,80.0,2008.0,New York,,Invalid lat long,Invalid lat long,11000.0
5941,"{""$oid"": ""52cdef7d4bab8bd6752994b1""}",Sharethrough,advertising,80.0,2008.0,Chicago,,Invalid lat long,Invalid lat long,11000.0
5942,"{""$oid"": ""52cdef7d4bab8bd6752994c1""}",Pacific Crest Inspections,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5943,"{""$oid"": ""52cdef7d4bab8bd6752994c0""}",SchoolPulse,web,6.0,2008.0,Concord,"{'type': 'Point', 'coordinates': [-71.356845, 42.45494]}",42.45494,-71.356845,0.0
5944,"{""$oid"": ""52cdef7d4bab8bd6752994c4""}",Linqua,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5945,"{""$oid"": ""52cdef7d4bab8bd6752994c3""}",Synerquia,consulting,,2007.0,Barcelona,,Invalid lat long,Invalid lat long,0.0
5946,"{""$oid"": ""52cdef7d4bab8bd6752994c5""}",CanalGOLF,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5947,"{""$oid"": ""52cdef7d4bab8bd6752994c2""}",FinancialContent,web,12.0,2000.0,San Carlos,,Invalid lat long,Invalid lat long,0.0
5948,"{""$oid"": ""52cdef7d4bab8bd6752994c6""}",Digital Assets Deployment,ecommerce,10.0,2006.0,Madrid,"{'type': 'Point', 'coordinates': [-3.678121, 40.42046]}",40.42046,-3.678121,0.0
5949,"{""$oid"": ""52cdef7d4bab8bd6752994c7""}",AYCE Internet,advertising,8.0,2004.0,Toronto,,Invalid lat long,Invalid lat long,0.0
5950,"{""$oid"": ""52cdef7d4bab8bd6752994c8""}",MoneyBackJobs,web,,,San Francisco,"{'type': 'Point', 'coordinates': [-122.4392075, 37.7444211]}",37.7444211,-122.4392075,0.0
5951,"{""$oid"": ""52cdef7d4bab8bd6752994c9""}",Quova,other,,2000.0,Mountain View,"{'type': 'Point', 'coordinates': [-122.07984, 37.390753]}",37.390753,-122.07984,0.0
5951,"{""$oid"": ""52cdef7d4bab8bd6752994c9""}",Quova,other,,2000.0,Marietta,"{'type': 'Point', 'coordinates': [-84.426962, 34.026926]}",34.026926,-84.426962,0.0
5951,"{""$oid"": ""52cdef7d4bab8bd6752994c9""}",Quova,other,,2000.0,Boston,,Invalid lat long,Invalid lat long,0.0
5951,"{""$oid"": ""52cdef7d4bab8bd6752994c9""}",Quova,other,,2000.0,Amsterdam,"{'type': 'Point', 'coordinates': [4.879167, 52.35918]}",52.35918,4.879167,0.0
5952,"{""$oid"": ""52cdef7d4bab8bd6752994ca""}",Pwned,games_video,10.0,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5953,"{""$oid"": ""52cdef7d4bab8bd6752994cc""}",Tickex,web,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5954,"{""$oid"": ""52cdef7d4bab8bd6752994cd""}",TicketStumbler,ecommerce,2.0,,Boston,"{'type': 'Point', 'coordinates': [-117.775264, 33.697222]}",33.697222,-117.775264,15.0
5955,"{""$oid"": ""52cdef7d4bab8bd6752994d0""}",CycleBiker,games_video,1.0,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5956,"{""$oid"": ""52cdef7d4bab8bd6752994ce""}",ToPeer Corporation,software,6.0,,Ottawa,"{'type': 'Point', 'coordinates': [-75.697933, 45.423494]}",45.423494,-75.697933,0.0
5957,"{""$oid"": ""52cdef7d4bab8bd6752994cf""}",ListerTalent,mobile,2.0,2006.0,Newbury,"{'type': 'Point', 'coordinates': [-1.329241, 51.405977]}",51.405977,-1.329241,0.0
5958,"{""$oid"": ""52cdef7d4bab8bd6752994d1""}",InstantPresenter,public_relations,11.0,2003.0,Huntington Beach,"{'type': 'Point', 'coordinates': [-118.0414615, 33.7410966]}",33.7410966,-118.0414615,0.0
5959,"{""$oid"": ""52cdef7d4bab8bd6752994d4""}",Intelliverb,software,5.0,2006.0,Laurel,"{'type': 'Point', 'coordinates': [-76.877448, 39.143942]}",39.143942,-76.877448,0.0
5960,"{""$oid"": ""52cdef7d4bab8bd6752994d2""}",Paymo,mobile,,,San Francisco,"{'type': 'Point', 'coordinates': [-122.40264, 37.798684]}",37.798684,-122.40264,5000.0
5960,"{""$oid"": ""52cdef7d4bab8bd6752994d2""}",Paymo,mobile,,,London,"{'type': 'Point', 'coordinates': [-0.109017, 51.514165]}",51.514165,-0.109017,5000.0
5961,"{""$oid"": ""52cdef7d4bab8bd6752994cb""}",Plastic Logic,other,,2000.0,Dresden,"{'type': 'Point', 'coordinates': [13.734177, 51.12601]}",51.12601,13.734177,196000.0
5961,"{""$oid"": ""52cdef7d4bab8bd6752994cb""}",Plastic Logic,other,,2000.0,Cambridge,,Invalid lat long,Invalid lat long,196000.0
5962,"{""$oid"": ""52cdef7d4bab8bd6752994d3""}",imthemusic,games_video,3.0,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5963,"{""$oid"": ""52cdef7d4bab8bd6752994d5""}",YouGizmos,other,,,San Jose,"{'type': 'Point', 'coordinates': [-121.846463, 37.205494]}",37.205494,-121.846463,0.0
5964,"{""$oid"": ""52cdef7d4bab8bd6752994d7""}",InChairTV,games_video,,,New York,"{'type': 'Point', 'coordinates': [-73.952833, 40.80405]}",40.80405,-73.952833,0.0
5965,"{""$oid"": ""52cdef7d4bab8bd6752994d6""}",DailyCandy,web,55.0,2000.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5966,"{""$oid"": ""52cdef7d4bab8bd6752994db""}",Slinqy,web,10.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5967,"{""$oid"": ""52cdef7d4bab8bd6752994d9""}",KallOut,search,9.0,2006.0,Monterey,"{'type': 'Point', 'coordinates': [-121.808255, 36.572851]}",36.572851,-121.808255,0.0
5968,"{""$oid"": ""52cdef7d4bab8bd6752994d8""}",Sky Detective,mobile,16.0,2006.0,Eagle,"{'type': 'Point', 'coordinates': [-116.316522, 43.683341]}",43.683341,-116.316522,0.0
5968,"{""$oid"": ""52cdef7d4bab8bd6752994d8""}",Sky Detective,mobile,16.0,2006.0,Newport Beach,"{'type': 'Point', 'coordinates': [-117.863686, 33.66859]}",33.66859,-117.863686,0.0
5968,"{""$oid"": ""52cdef7d4bab8bd6752994d8""}",Sky Detective,mobile,16.0,2006.0,"Nanshan, Shenzhen",,Invalid lat long,Invalid lat long,0.0
5969,"{""$oid"": ""52cdef7d4bab8bd6752994dc""}",Loaded Media,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5970,"{""$oid"": ""52cdef7d4bab8bd6752994da""}",WirelessGround,mobile,20.0,2002.0,Glendale,"{'type': 'Point', 'coordinates': [-118.256594, 34.124035]}",34.124035,-118.256594,0.0
5971,"{""$oid"": ""52cdef7d4bab8bd6752994de""}",Piclinq,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5972,"{""$oid"": ""52cdef7d4bab8bd6752994dd""}",Heekya,web,3.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5973,"{""$oid"": ""52cdef7d4bab8bd6752994df""}",Snaptortoise,web,,,Portland,"{'type': 'Point', 'coordinates': [-122.63457, 45.516621]}",45.516621,-122.63457,0.0
5974,"{""$oid"": ""52cdef7d4bab8bd6752994e1""}",myAuctionNetwork,network_hosting,1.0,2005.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5975,"{""$oid"": ""52cdef7d4bab8bd6752994e0""}",Everyclick,search,,2005.0,Gloucestershire,,Invalid lat long,Invalid lat long,738.0
5976,"{""$oid"": ""52cdef7d4bab8bd6752994e3""}",Consist,,,1972.0,New York,,Invalid lat long,Invalid lat long,0.0
5977,"{""$oid"": ""52cdef7d4bab8bd6752994e2""}",Casius,ecommerce,15.0,2000.0,Ternat,,Invalid lat long,Invalid lat long,0.0
5978,"{""$oid"": ""52cdef7d4bab8bd6752994e4""}",Mantis,biotech,,,Roswell,,Invalid lat long,Invalid lat long,0.0
5979,"{""$oid"": ""52cdef7d4bab8bd6752994e6""}",INTRASOFT,software,50.0,,St. Petersburg,,Invalid lat long,Invalid lat long,0.0
5980,"{""$oid"": ""52cdef7d4bab8bd6752994e5""}",iAmaze,web,,1999.0,Waltham,"{'type': 'Point', 'coordinates': [-71.255848, 42.396986]}",42.396986,-71.255848,0.0
5981,"{""$oid"": ""52cdef7d4bab8bd6752994e7""}",MyArmedForces,network_hosting,2.0,2006.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5982,"{""$oid"": ""52cdef7d4bab8bd6752994e8""}",Rentalo,web,30.0,1998.0,Miami,"{'type': 'Point', 'coordinates': [-80.331765, 25.913242]}",25.913242,-80.331765,0.0
5983,"{""$oid"": ""52cdef7d4bab8bd6752994e9""}",ididwork,web,,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
5984,"{""$oid"": ""52cdef7d4bab8bd6752994ea""}",Shop Like Anna,ecommerce,5.0,2008.0,Chicago,"{'type': 'Point', 'coordinates': [-87.625743, 41.886048]}",41.886048,-87.625743,0.0
5985,"{""$oid"": ""52cdef7d4bab8bd6752994eb""}",GreenCine,other,,2003.0,Van Nuys,"{'type': 'Point', 'coordinates': [-118.4484, 34.1869]}",34.1869,-118.4484,0.0
5986,"{""$oid"": ""52cdef7d4bab8bd6752994ec""}",Popcuts,games_video,,,NoCity,,Invalid lat long,Invalid lat long,0.0
5987,"{""$oid"": ""52cdef7d4bab8bd6752994ee""}",CodeSense,software,2.0,2007.0,Sydney,"{'type': 'Point', 'coordinates': [151.323938, -33.629723]}",-33.629723,151.323938,0.0
5988,"{""$oid"": ""52cdef7d4bab8bd6752994ed""}",Dig N Swap,web,2.0,2007.0,Torrance,"{'type': 'Point', 'coordinates': [-118.351901, 33.804047]}",33.804047,-118.351901,0.0
5989,"{""$oid"": ""52cdef7d4bab8bd6752994ef""}",GoodSearch,search,,2005.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.488226, 34.086348]}",34.086348,-118.488226,0.0
5990,"{""$oid"": ""52cdef7d4bab8bd6752994f1""}",Kirtas Technologies,software,,2001.0,Victor,,Invalid lat long,Invalid lat long,0.0
5991,"{""$oid"": ""52cdef7d4bab8bd6752994f3""}",Mobera Systems,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
5992,"{""$oid"": ""52cdef7d4bab8bd6752994f2""}",eFriendsNet,,,2003.0,Beijing,,Invalid lat long,Invalid lat long,0.0
5993,"{""$oid"": ""52cdef7d4bab8bd6752994f4""}",TuneyFish,consulting,2.0,2008.0,Mercer Island,"{'type': 'Point', 'coordinates': [-122.233149, 47.565229]}",47.565229,-122.233149,0.0
5994,"{""$oid"": ""52cdef7d4bab8bd6752994f5""}",Radiopaq,web,,,West Sussex,,Invalid lat long,Invalid lat long,0.0
5995,"{""$oid"": ""52cdef7d4bab8bd6752994f7""}",Sixty Five Design,advertising,,,Beverly Hills,,Invalid lat long,Invalid lat long,0.0
5996,"{""$oid"": ""52cdef7d4bab8bd6752994f8""}",Consorzio Il Tavoliere,other,1.0,1999.0,Foggia,,Invalid lat long,Invalid lat long,0.0
5997,"{""$oid"": ""52cdef7d4bab8bd6752994f0""}",SkyGrid,web,25.0,2005.0,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.010958, 37.40754]}",37.40754,-122.010958,13300.0
5998,"{""$oid"": ""52cdef7d4bab8bd6752994f9""}",Promac Global,consulting,15.0,2007.0,San Jose,"{'type': 'Point', 'coordinates': [-121.957018, 37.421729]}",37.421729,-121.957018,0.0
5999,"{""$oid"": ""52cdef7d4bab8bd6752994f6""}",dynaTrace software,software,,2005.0,Waltham,"{'type': 'Point', 'coordinates': [-71.270987, 42.391389]}",42.391389,-71.270987,21900.0
5999,"{""$oid"": ""52cdef7d4bab8bd6752994f6""}",dynaTrace software,software,,2005.0,Linz,"{'type': 'Point', 'coordinates': [14.3194706, 48.3295209]}",48.3295209,14.3194706,21900.0
6000,"{""$oid"": ""52cdef7d4bab8bd6752994fa""}",retaggr,web,4.0,2008.0,London,"{'type': 'Point', 'coordinates': [-0.24233, 51.549167]}",51.549167,-0.24233,0.0
6001,"{""$oid"": ""52cdef7d4bab8bd6752994fb""}",SiteAdvisor,security,,2005.0,Boston,"{'type': 'Point', 'coordinates': [-71.0572297, 42.3508834]}",42.3508834,-71.0572297,0.0
6002,"{""$oid"": ""52cdef7d4bab8bd6752994fd""}",SeerGate,ecommerce,10.0,2006.0,Mill Valley,,Invalid lat long,Invalid lat long,0.0
6003,"{""$oid"": ""52cdef7d4bab8bd6752994fe""}",RatchetSoft,software,15.0,2003.0,Manhasset,"{'type': 'Point', 'coordinates': [-73.701079, 40.79978]}",40.79978,-73.701079,0.0
6004,"{""$oid"": ""52cdef7d4bab8bd6752994fc""}",Travelzoo,web,,,New York,"{'type': 'Point', 'coordinates': [-73.9723688, 40.762251]}",40.762251,-73.9723688,0.0
6005,"{""$oid"": ""52cdef7d4bab8bd675299500""}",Mercedez Benz,enterprise,2.0,2011.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
6006,"{""$oid"": ""52cdef7d4bab8bd675299501""}",Epitaph Records,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
6007,"{""$oid"": ""52cdef7d4bab8bd6752994ff""}",NetQoS,software,260.0,1999.0,Austin,"{'type': 'Point', 'coordinates': [-97.80058, 30.34819]}",30.34819,-97.80058,0.0
6007,"{""$oid"": ""52cdef7d4bab8bd6752994ff""}",NetQoS,software,260.0,1999.0,Theale Reading,,Invalid lat long,Invalid lat long,0.0
6007,"{""$oid"": ""52cdef7d4bab8bd6752994ff""}",NetQoS,software,260.0,1999.0,NoCity,,Invalid lat long,Invalid lat long,0.0
6008,"{""$oid"": ""52cdef7d4bab8bd675299504""}",Scape Velocity,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
6009,"{""$oid"": ""52cdef7d4bab8bd675299503""}",Monitter,web,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
6010,"{""$oid"": ""52cdef7d4bab8bd675299502""}",Canwest,games_video,,1974.0,Winnipeg,,Invalid lat long,Invalid lat long,24000.0
6011,"{""$oid"": ""52cdef7d4bab8bd675299505""}",Zagg,hardware,,,Salt Lake City,"{'type': 'Point', 'coordinates': [-111.904755, 40.687884]}",40.687884,-111.904755,0.0
6012,"{""$oid"": ""52cdef7d4bab8bd675299506""}",SpiderOak,web,,2007.0,Northbrook,"{'type': 'Point', 'coordinates': [-87.862305, 42.142261]}",42.142261,-87.862305,2000.0
6013,"{""$oid"": ""52cdef7d4bab8bd675299507""}",Sharendipity,software,3.0,2006.0,Madison,"{'type': 'Point', 'coordinates': [-89.382609, 43.075114]}",43.075114,-89.382609,0.0
6014,"{""$oid"": ""52cdef7d4bab8bd675299508""}",Propertyware,web,300.0,2001.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
6015,"{""$oid"": ""52cdef7d4bab8bd675299509""}",Sandlot Games,games_video,,2002.0,NoCity,,Invalid lat long,Invalid lat long,0.0
6016,"{""$oid"": ""52cdef7d4bab8bd67529950c""}",Cycorp,software,25.0,1994.0,Austin,"{'type': 'Point', 'coordinates': [-97.747637, 30.361216]}",30.361216,-97.747637,0.0
6016,"{""$oid"": ""52cdef7d4bab8bd67529950c""}",Cycorp,software,25.0,1994.0,Ljubljana,"{'type': 'Point', 'coordinates': [14.494541, 46.043851]}",46.043851,14.494541,0.0
6017,"{""$oid"": ""52cdef7d4bab8bd67529950b""}",Topia Technology,software,,1999.0,Tacoma,"{'type': 'Point', 'coordinates': [-122.438037, 47.25274]}",47.25274,-122.438037,0.0
6018,"{""$oid"": ""52cdef7d4bab8bd67529950a""}",ACS,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
6019,"{""$oid"": ""52cdef7d4bab8bd67529950f""}",Sixent,network_hosting,10.0,,Ottawa,,Invalid lat long,Invalid lat long,0.0
6020,"{""$oid"": ""52cdef7d4bab8bd67529950e""}",MyFrontSteps,web,29.0,2008.0,Saskatoon,"{'type': 'Point', 'coordinates': [-106.6634565, 52.143886]}",52.143886,-106.6634565,3000.0
6021,"{""$oid"": ""52cdef7d4bab8bd67529950d""}",VivaSmart,software,8.0,1999.0,NoOffice,,Invalid lat long,Invalid lat long,250.0
6022,"{""$oid"": ""52cdef7d4bab8bd675299512""}",HotStartupJobs,software,5.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
6023,"{""$oid"": ""52cdef7d4bab8bd675299510""}",Veveo,games_video,,,Andover,"{'type': 'Point', 'coordinates': [-71.212156, 42.687142]}",42.687142,-71.212156,14000.0
6023,"{""$oid"": ""52cdef7d4bab8bd675299510""}",Veveo,games_video,,,Bangalore,,Invalid lat long,Invalid lat long,14000.0
6024,"{""$oid"": ""52cdef7d4bab8bd675299511""}",Same Page Capital,consulting,1.0,2008.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4194155, 37.7749295]}",37.7749295,-122.4194155,0.0
6025,"{""$oid"": ""52cdef7d4bab8bd675299514""}",Commily,network_hosting,,,Schaumburg,"{'type': 'Point', 'coordinates': [-88.0833, 42.0334]}",42.0334,-88.0833,0.0
6026,"{""$oid"": ""52cdef7d4bab8bd675299513""}",Jobpartners,software,,,NoOffice,,Invalid lat long,Invalid lat long,25070.0
6027,"{""$oid"": ""52cdef7d4bab8bd675299515""}",Treasuremytext,mobile,2.0,2008.0,Prenton,"{'type': 'Point', 'coordinates': [-3.036415, 53.386432]}",53.386432,-3.036415,0.0
6028,"{""$oid"": ""52cdef7d4bab8bd675299518""}",GoYoDeo,games_video,6.0,2007.0,Nashville,"{'type': 'Point', 'coordinates': [-86.796377, 36.163965]}",36.163965,-86.796377,150.0
6029,"{""$oid"": ""52cdef7d4bab8bd67529951b""}",RevJobs,web,1.0,2008.0,Santa Barbara,"{'type': 'Point', 'coordinates': [-119.8084281, 34.4335255]}",34.4335255,-119.8084281,0.0
